AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
-5.002,-10.0,19.9909685203706,19.84748237706949,-20,0,-0.4543208761533625,-0.4478224613746866,0.1307027036726941,0.1288331871575146,-0.1345097067228815,-0.1325857364368489,0.035095813195752,0.0345938174409631,0.6024148342538853,0.5937981457694065,0.0318797528896869,0.03142375830922,0.007229438,20.0,-5.0,-10.0,0.005051366940850099,1.0101027338817004,19.947487347245136,-0.4433434801762788,0.1275446376255458,0.034247820821178575,0.5878591611048446,0.0311094676364872
-2.5,-10.0,19.99389090730533,19.85038378843067,-20,0,-0.1843242035181382,-0.1816877076160533,0.1135179345753764,0.1118942217714761,-0.1301029019293947,-0.1282419647261454,0.033942759988336,0.0334572570217877,0.5056973025443848,0.4984640209654823,0.0324054555068747,0.0319419414972201,0.007229438,20.0,-2.5,-10.0,0.0042221664715995045,1.0084443329431991,19.93401922311672,-0.1801663231978189,0.1109572617111217,0.03317709855549576,0.494290071035144,0.03167447171228165
0.002,-10.0,20.00041753590767,19.856863571840588,-20,0,0.0945123901335356,0.0931605246458391,0.1057990006659588,0.1042856962470249,-0.1276651404531032,-0.1258390719649756,0.0331310661957239,0.0326571733558824,0.4123891047612595,0.4064904644090146,0.0333601175701692,0.0328829484757796,0.007229438,20.0,0.0,-10.0,0.0034264742410675276,1.0068529484821351,19.92478643409466,0.09252644568035653,0.10357589596796545,0.03243489866629898,0.4037237662379722,0.03265913709181838
-0.005,-10.0,20.00815716209881,19.864547646490465,-20,0,0.0938091136293157,0.0924673075130203,0.1054749891853468,0.1039663192903905,-0.1276697254626372,-0.1258435913924611,0.033691896843418,0.0332099821178112,0.4100337040912487,0.4041687543997836,0.033435792199203,0.0329575406867396,0.007229438,20.0,-0.0,-10.0,0.0033856545032664516,1.0067713090065329,19.93168867527689,0.09184539396962522,0.10326706607579327,0.03298661952393371,0.40145040962541073,0.03273587595504844
0.005,-10.0,20.0044300867185,19.86084732237393,-20,0,0.0947527612485796,0.0933974575935253,0.1059550297075369,0.1044394935147996,-0.1279248359021708,-0.126095052839537,0.0332003580526752,0.0327254740912478,0.414157528226774,0.4082335930888688,0.0334661797980238,0.0329874936341243,0.007229438,20.0,0.0,-10.0,0.0034462788079976615,1.0068925576159955,19.92917580229911,0.09275811692824612,0.10372456596767328,0.032501455933621574,0.4054390808642358,0.0327616818543463
2.5,-10.0,19.998112423600706,19.85457500458868,-20,0,0.3723218021107932,0.3669962676080747,0.1049014286244447,0.1034009626985795,-0.1283258402880178,-0.126490321427264,0.0335445386002947,0.033064731625036,0.3160813646197774,0.31156026968683,0.0350318162887136,0.0345307359187735,0.007229438,20.0,2.5,-10.0,0.0025448601383456027,1.0050897202766913,19.905037991955403,0.3651378182507371,0.10287734578572173,0.03289729360273788,0.309982545240897,0.03435587412959266
5.0,-10.0,19.992835656405287,19.849336111644988,-20,0,0.6338624871873667,0.6247959846985043,0.1102135707079022,0.1086371221353362,-0.1273799196598005,-0.12555793084997,0.0339755570061804,0.0334895849248794,0.2329370364224494,0.2296052029993301,0.0362873315178565,0.0357682927860004,0.007229438,20.0,5.0,-10.0,0.0025448601383456027,1.0050897202766913,19.899785783683214,0.6216320514416406,0.10808698959275942,0.033319995468325,0.22844249460249386,0.03558716407541581
6.0,-10.0,19.99483948656011,19.85132555921197,-20,0,0.7280250402898362,0.7176116762350694,0.1140189770772357,0.1123880975720683,-0.1218798660624063,-0.1201365477065585,0.0333128004746425,0.0328363081840914,0.208955280475111,0.205966472005162,0.0344400099009509,0.0339473944807373,0.007229438,20.0,6.0,-10.0,0.0025448601383456027,1.0050897202766913,19.901780287690205,0.7139777293090989,0.11181897029165612,0.032670026885810645,0.204923468870482,0.03377548670121899
7.0,-10.0,19.993435453169816,19.84993160333924,-20,0,0.8147160296074779,0.8030626740935257,0.1174088675303877,0.1157295004575668,-0.1206246171718105,-0.1188992533682841,0.0333573206881111,0.0328801915991465,0.1890585494307389,0.1863543354354282,0.0348498048431584,0.0343513278884029,0.007229438,20.0,7.0,-10.0,0.0025448601383456027,1.0050897202766913,19.900382788897137,0.7989960079110654,0.11514345249268654,0.03271368807761252,0.1854106471053417,0.03417737461183696
8.0,-10.0,19.991798997474028,19.84830689338334,-20,0,0.9086125063376392,0.8956160951023319,0.1234562267412723,0.1216903607851056,-0.1158121482650939,-0.1141556199932518,0.031398947373928,0.0309498300333884,0.1231146646117113,0.121353684216625,0.0337470568518506,0.0332643531406769,0.007229438,20.0,8.0,-10.0,0.0025448601383456027,1.0050897202766913,19.898753949529354,0.891080743374609,0.12107412734417923,0.030793101758983484,0.12073915568773057,0.03309590424576181
