run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,dR,dE,V_round,AoA_round,AoS_round,J,J_round,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CY_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,CMpitch25c_uncorrected,CT_off,CD_off,CT_prop,Tc_star,dCD_net_pre_corr,dCD_from_dCT_pre_corr,matched_fit_velocity,velocity_match_error,fit_found,fit_match_type,matched_fit_AoS,matched_fit_dR,matched_fit_source_row,CD0_fit,k_fit,esb,CL2_fit,CDi_fit,CDsep_fit,ewb,ess,e_total_blockage,V_blockage_corr,CL_blockage_corr,CD_blockage_corr,CYaw_blockage_corr,CMroll_blockage_corr,CMpitch_blockage_corr,CMyaw_blockage_corr,CL_alpha_per_deg_tailoff,CL_alpha_per_rad_tailoff,delta_alpha_sc_rad,delta_alpha_sc_deg,AoA_streamline_curvature_corr,delta_CL_sc,delta_CMpitch_sc,CL_blockage_corr_sc_corr,CMpitch_blockage_corr_sc_corr,streamline_curvature_data_found,delta_alpha_dw_deg,delta_alpha_dw_rad,delta_CD_dw,AoA_downwash_corr,CD_blockage_corr_dw_corr,downwash_data_found,CLw_tailoff,delta_alpha_tail_rad,delta_alpha_tail_deg,delta_CMpitch_tail,AoA_tail_corr,CMpitch_blockage_corr_sc_corr_tail_corr,tail_correction_data_found
23.0,8.0,7.0,7.0,2.496,0.0,104.31,101191.0,289.41,493.9,-21.9,150.0,143.4,354.5,10.9,0.0,1.2180659507882503,243.34362824262425,19.988931776445074,223736.3857873665,35.15,35.15,-0.16,-0.09,0.0,21.031,20.886,26.85,26.17,101191.0,1.4739518869890942e-05,2.798598214688046,2.798598214688046,4.654314004575608,-0.1689258464752604,26.642614314089883,-0.3418919219886683,-0.5732011392690834,-0.0520163324197567,0.0880717207641083,-0.0031965161710154,0.5041475254977595,-0.0046323441423646,-0.0657442093673462,-0.00070477696984,0.5075047145505892,0.0660327204709162,0.0046768733138725,0.49134280973548566,0.0800217207641083,0.0031965161710154,-0.005064015965303799,-0.08367998528883101,-0.08367998528883101,-0.0042935159086616,506.1666666666666,-16.666666666666664,155.16666666666666,145.13333333333333,333.6,7.800000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,20.0,2.5,0.0,2.798598214688046,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0880717207641083,0.0031965161710154,0.5041475254977595,-0.0054973492986371,-0.0905674852888309,-0.0009435159086616,-0.0905674852888309,0.044011547913636394,0.0657647882761935,-0.022021172557279804,-0.1474901347408144,-0.014256932487914792,-0.02200028028592879,20.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,66.0,0.0410732835065928,0.07137849358511905,0.007229438,0.24141775667876167,0.017232035796428822,0.021716401461086676,0.003925740237243006,0.0013759393283524803,0.012531117565595487,19.741548116075666,0.4792563181069626,0.0780532746223278,0.003117885395972177,-0.004939446753424416,-0.08162154987138209,-0.004187900149035636,0.0902710426982978,5.172149758857711,0.0002557716313040428,0.014654634992897821,2.510654634992898,-0.0013228891811718484,0.0003307222952929621,0.47793342892579077,-0.08129082757608913,True,0.3256825438604811,0.005684232706636239,0.0028909503698869906,2.836337178853379,0.08094422499221479,True,0.508628599589568,0.008268908713820716,0.47377357048087687,-0.0012962341299785356,3.310110749334256,-0.08258706170606767,True
24.0,8.0,7.0,32.0,2.496,0.0,104.52,101192.0,289.39,232.4,-28.3,198.6,185.0,143.7,14.5,0.0,1.218162170535493,243.83351276965868,20.00825165955574,223982.337972026,49.21,49.21,0.56,0.54,0.0,20.844,20.649,44.904,43.815,101192.0,1.4737564119370352e-05,2.0009308151026115,2.0009308151026115,2.24850780270859,-0.2276828277309029,26.99276102797617,-0.5098789872201681,-0.77383137595471,-0.0749581612321228,0.0424621308940779,-0.0042996951230488,0.5097470200378204,-0.0068945460190078,-0.0885774922277964,-0.0010135787217525,0.5111126154067658,0.0202225460701507,0.0057800522659059005,0.4969423042755465,0.0344121308940779,0.0042996951230488,-0.0076212626728870995,-0.0936580698610366,-0.0936580698610366,-0.0047133918642211,244.66666666666669,-23.066666666666663,203.76666666666665,186.7333333333333,122.79999999999998,11.4,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,20.0,2.5,0.0,2.0009308151026115,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0424621308940779,0.0042996951230488,0.5097470200378204,-0.0080545960062204,-0.1005455698610365,-0.0013633918642211,-0.1005455698610365,0.044011547913636394,0.0657647882761935,0.023789001843485695,0.15933043883647754,0.0313526573821156,0.023766432369476485,20.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,66.0,0.0410732835065928,0.07137849358511905,0.007229438,0.24695165377868983,0.017627037035076752,0.0,0.0010774296108251155,-0.0010868488218948934,0.007220018788930221,19.864827233689645,0.48984341211116933,0.033920548663582115,0.004238273360893294,-0.007512391841392707,-0.09232015088624443,-0.0046460603847220125,0.0902710426982978,5.172149758857711,0.0002557716313040428,0.014654634992897821,2.510654634992898,-0.0013228891811718484,0.0003307222952929621,0.4885205229299975,-0.09198942859095147,True,0.3256825438604811,0.005684232706636239,0.0028909503698869906,2.836337178853379,0.03681149903346911,True,0.508628599589568,0.008268908713820716,0.47377357048087687,-0.0012962341299785356,3.310110749334256,-0.09328566272093,True
4.0,7.0,52.0,15.0,2.507,0.0,416.01,101202.0,289.17999999999995,-839.5,-157.4,1112.5,1105.4,-959.7,55.8,0.0,1.2191672579972812,974.9650714676034,39.99243808047264,448317.21003641264,123.03,123.04,17.64,17.93,0.0,20.15,21.793,34.112,33.614,101202.0,1.4717119291721276e-05,1.599716975777331,1.5995869597682464,-7.6203100498676655,-1.7852427811914882,112.4485216320533,-1.9805467648002115,-4.68383258262846,-0.3436620319839879,-0.0359902087690589,-0.0084315808645676,0.5310867593084246,-0.00669773560783,-0.1340857876031317,-0.0011621828222322,0.5290041845169331,-0.0591862636389535,0.0099119380074247,0.5182820435461508,-0.044040208769058904,0.0084315808645676,-0.008581347759656001,-0.1170543404314959,-0.1170543404314959,-0.0049053856460878,-827.2333333333333,-152.16666666666669,1117.6666666666667,1107.1333333333334,-980.6,52.7,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,2.5,0.0,1.599716975777331,1.6,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,-0.0359902087690589,0.0084315808645676,0.5310867593084247,-0.0090146810929893,-0.1239418404314958,-0.0015553856460878,-0.1239418404314958,0.036549391027262394,0.05874121771248035,0.09573565466621589,0.6412040307795699,0.10278142648153926,0.09564402463628303,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.2686162766623742,0.01853052036952427,0.0,0.0009078527881911083,-0.003324578140019251,0.004812712648171857,39.800887844136696,0.5133291423997266,-0.04361934371456352,0.008351005457701193,-0.008499341123142306,-0.11593572444983792,-0.004858507907426578,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.521448715683226,-0.0012274640837213414,0.00030686602093033536,0.5121016783160053,-0.11562885842890759,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.842554937810928,-0.040809066805891865,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.3096712884687585,-0.11690687855100755,True
10.0,7.0,55.0,35.0,2.503,0.0,415.81,101196.0,289.41,1385.5,-105.5,709.6,740.6,833.6,18.3,0.0,1.2181261372648535,974.4927490899582,39.99983251449172,447740.7929164204,82.02,82.01,1.1,0.8,0.0,22.733,22.766,30.455,30.383,101196.0,1.4738790604007414e-05,2.4000191351021867,2.400311784673592,12.849841876790176,-1.4107643979511804,109.44690935532128,-1.029505139611864,-2.989315423938594,-0.1041460719765816,0.0607183487914234,-0.0066661742298979,0.5171608864995387,-0.0034832276780618,-0.0856177029841382,-0.0003523678187823,0.5193191554259788,0.038075125903847,0.008146531372754999,0.5043561707372648,0.052668348791423396,0.0066661742298979,-0.0049082710447519995,-0.0958438498218493,-0.0958438498218493,-0.0039353085671926,1397.7666666666669,-100.26666666666668,714.7666666666667,742.3333333333334,812.7,15.2,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,2.5,0.0,2.4000191351021867,2.4,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0607183487914234,0.0066661742298979,0.5171608864995387,-0.0053416043780853,-0.1027313498218492,-0.0005853085671926,-0.1027313498218492,0.036549391027262394,0.05874121771248035,-0.0015257348765846043,-0.010218840161253446,0.006072868921056955,-0.001524279228333106,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.254375146960757,0.01754809463084669,0.0005115014615786583,0.0009749410233691787,8.087653158499647e-05,0.008285255554954176,39.671146924067685,0.49610146085571927,0.05180633507088595,0.006557070113639733,-0.004827938224722869,-0.09427519017195692,-0.0038709000551106535,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.517448715683226,-0.0012274640837213414,0.00030686602093033536,0.49487399677199795,-0.09396832415102659,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.838554937810928,0.054616611979557604,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.3056712884687585,-0.09524634427312655,True
11.0,7.0,56.0,5.0,2.503,0.0,415.59,101195.0,289.48,1815.7,-95.1,626.5,672.7,1183.4,9.4,0.0,1.2178195442593014,973.9731987502936,39.994201580787575,447481.0876089892,70.31,70.29,-1.35,-1.37,0.0,22.323,22.209,27.955,28.552,101195.0,1.4745268537566482e-05,2.7993437373512617,2.800140250009492,16.807719264686142,-1.3527964239444386,108.7849042792004,-0.7344969339462756,-2.621960225846349,-0.0471242249300723,0.0794625614479741,-0.0063956725639831,0.5143069684094561,-0.0024864225532374,-0.0751362531413241,-0.0001595251528695,0.5172865517376948,0.056926090834727,0.007876029706840199,0.5015022526471822,0.0714125614479741,0.0063956725639831,-0.0038446697440130003,-0.09064551195490761,-0.09064551195490761,-0.0036962006113609,1827.9666666666667,-89.86666666666666,631.6666666666666,674.4333333333334,1162.5,6.300000000000001,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,2.5,0.0,2.7993437373512617,2.8,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0794625614479741,0.0063956725639831,0.5143069684094561,-0.0042780030773463,-0.0975330119549075,-0.0003462006113609,-0.0975330119549075,0.036549391027262394,0.05874121771248035,-0.020376699807464607,-0.1364760297099876,-0.01267134373549375,-0.020357259137987065,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.25150450941019814,0.017350063415966094,0.01945374533300996,0.003459394748535169,0.001253752473682662,0.011942585222217833,39.52220428790931,0.489735000075989,0.06973693657714157,0.006245604455563283,-0.0037544583846585416,-0.08851860499090457,-0.0036094729328348353,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.517448715683226,-0.0012274640837213414,0.00030686602093033536,0.4885075359922677,-0.08821173896997424,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.838554937810928,0.07254721348581322,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.3056712884687585,-0.0894897590920742,True
12.0,7.0,56.0,55.0,2.503,0.0,415.58,101193.0,289.54999999999995,605.7,-131.5,849.6,867.5,204.7,37.4,0.0,1.2175010680190128,973.9495829321944,39.998947184542295,447333.2035533821,98.42,98.43,7.13,6.35,0.0,21.723,21.592,30.299,30.153,101193.0,1.4751893393639962e-05,2.00005296202351,1.9998497665585069,5.675647094404695,-1.5931973711987517,110.35666158098408,-1.412485808087964,-3.5883151607617805,-0.226933555433952,0.0268336461681774,-0.0075324088731598,0.5217504823520099,-0.0047816696912629,-0.1028311150702209,-0.0007682351905665,0.5224245700339878,0.0040223160041163,0.0090127660160169,0.508945766589736,0.018783646168177397,0.0075324088731598,-0.0064312304976095,-0.10350675789328731,-0.10350675789328731,-0.0044172893993147,617.9666666666667,-126.26666666666668,854.7666666666667,869.2333333333333,183.8,34.3,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.9,3.1,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,2.5,0.0,2.00005296202351,2.0,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0268336461681774,0.0075324088731598,0.5217504823520099,-0.0068645638309428,-0.1103942578932872,-0.0010672893993147,-0.1103942578932872,0.036549391027262394,0.05874121771248035,0.03252707502314609,0.21785500592258217,0.039957571544302954,0.032496042121814124,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.25902579332961406,0.017868919929820953,0.0,0.0009078527881911083,-0.0014242004764211575,0.006713090311769951,39.73222119537055,0.5021807658534712,0.018533970488568315,0.00743228670903568,-0.006345745398985056,-0.1021309270301122,-0.0043585739761785695,0.08495316197178375,4.867457637274492,0.00025217766135683385,0.014448715683225893,2.517448715683226,-0.0012274640837213414,0.00030686602093033536,0.5009533017697498,-0.10182406100918187,True,0.32110622212770173,0.005604360824768667,0.0028102769086716514,2.838554937810928,0.021344247397239967,True,0.5014816150240948,0.008152718308879524,0.4671163506578306,-0.0012780201220999542,3.3056712884687585,-0.10310208113128183,True
2.0,7.0,51.0,6.0,4.995,0.0,416.28,101203.0,289.09,-588.7,-98.3,1607.6,1547.6,-976.6,23.4,0.0,1.219558861881395,975.602712549633,39.99909029687908,448644.2087623428,123.03,123.03,17.84,17.8,0.0,17.882,18.861,34.143,33.598,101203.0,1.4708838790275729e-05,1.599983067669266,1.599983067669266,-5.259944205731627,-1.175048692435734,169.5546635555052,-2.1839098326126627,-8.006898540473433,-0.0911829393195901,-0.0248261239518525,-0.0055460482748246,0.8002718145673056,-0.0073806338389104,-0.2290665987582725,-0.0003081573595318,0.7950710413341843,-0.0944105547759178,0.0072960482748246,0.7934218145673058,-0.0326261239518525,0.0055460482748246,-0.0082830072297409,-0.2174192820308246,-0.2174192820308246,-0.0043804199215521,-570.1,-83.89999999999999,1622.6,1558.6,-1045.7,13.999999999999998,-18.6,-14.4,-15.0,-11.0,69.1,9.4,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,5.0,0.0,1.599983067669266,1.6,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,-0.0248261239518525,0.0055460482748246,0.8002718145673057,-0.0088830072297409,-0.2220692820308246,-0.0010804199215521,-0.2220692820308246,0.0026104929565514967,0.0696661739671177,0.09702104773246929,0.6498131453053062,0.10229229791897021,0.09665259090646884,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.6295181758312761,0.043427373520218304,0.0,0.0009078527881911083,-0.0033565784928261673,0.00478071229536494,39.808775992030554,0.7858896284754652,-0.03231639458400694,0.005493398011227939,-0.008204374211705603,-0.2153552569912514,-0.004338835309932202,0.08495316197178375,4.867457637274492,0.00036482848616436927,0.020903132503365306,5.015903132503365,-0.0017757872012760505,0.00044394680031901263,0.7841138412741891,-0.2149113101909324,True,0.46454827238263013,0.008107896887528339,0.005881842234097482,5.480451404885995,-0.026434552349909456,True,0.7254995445041451,0.011794636617492965,0.6757828990728041,-0.0018489272361581974,6.156234303958799,-0.2167602374270906,True
9.0,7.0,55.0,15.0,5.004,0.0,415.74,101196.0,289.4,1657.3,-50.7,1200.8,1143.3,858.4,48.0,0.0,1.2181682287001427,974.3274371323666,39.99574859958378,447722.5561010118,82.02,82.01,0.97,0.85,0.0,23.0,23.175,30.511,30.446,101196.0,1.4737886083598156e-05,2.399774097228049,2.4000667169204317,15.403073068312322,-0.1042825597812277,164.91248209436063,-1.0788088274293344,-5.981441108621704,-0.2538280638089084,0.0727952805664744,-0.000492841796166,0.7793802152162367,-0.0036506610693084,-0.1713449621079496,-0.0008589475792974,0.782759283533847,0.004536164110528,0.002242841796166,0.7725302152162369,0.0649952805664744,0.000492841796166,-0.003100204515515,-0.1872125280145295,-0.1872125280145295,-0.004478425208073,1675.9,-36.3,1215.8,1154.3,789.3,38.6,-18.6,-14.4,-15.0,-11.0,69.1,9.4,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,5.0,0.0,2.399774097228049,2.4,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.0727952805664744,0.000492841796166,0.7793802152162368,-0.003700204515515,-0.1918625280145295,-0.001178425208073,-0.1918625280145295,0.0026104929565514967,0.0696661739671177,-0.0019256711539765029,-0.012897473884632128,0.004670893400643306,-0.0019183316722100308,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.5968029334220453,0.04117050929221714,0.0,0.0009078527881911083,0.00010235673304016727,0.008239647521231276,39.6688909208379,0.7599550962532836,0.06393729814836902,0.0004848193989902879,-0.003049739899601985,-0.18416511347362513,-0.004405526143869481,0.08495316197178375,4.867457637274492,0.00036482848616436927,0.020903132503365306,5.024903132503365,-0.0017757872012760505,0.00044394680031901263,0.7581793090520076,-0.18372116667330612,True,0.46454827238263013,0.008107896887528339,0.005881842234097482,5.489451404885995,0.06981914038246649,True,0.7254995445041451,0.011794636617492965,0.6757828990728041,-0.0018489272361581974,6.165234303958799,-0.18557009390946433,True
3.0,7.0,51.0,36.0,7.0,0.0,415.96,101202.0,289.11,-216.1,70.7,1998.7,1793.5,-909.6,-8.7,0.0,1.2194624456700005,974.8469905261348,39.985175845220525,448428.59782865416,123.04,123.02,17.52,17.53,0.0,18.766,20.138,34.169,33.656,101202.0,1.4710791799752166e-05,1.599296490435402,1.5995564963678417,-1.7328710417294697,1.1918024030624683,210.12050267760645,-2.0808255092298222,-11.448054933856753,0.149801604776535,-0.0081852240196132,0.0056294839149967,0.9925051224893482,-0.0070377067024908,-0.3277673505223425,0.0005066545720933,0.9841096119342072,-0.1290801602050115,-0.0011794839149967002,0.985555122489348,-0.0141852240196132,-0.0056294839149967,-0.0060721345349181,-0.3234103208361368,-0.3234103208361368,-0.0037640073970523,-186.25,92.75,2023.05,1810.8,-1024.95,-22.45,-29.85,-22.05,-24.35,-17.3,115.35,13.75,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,7.0,0.0,1.599296490435402,1.6,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,-0.0081852240196132,-0.0056294839149967,0.992505122489348,-0.0054721345349181,-0.3254603208361367,-0.0001640073970523,-0.3254603208361367,-0.03290505283652946,0.08359778709417409,0.09617510736848205,0.6441473317369035,0.09778301111378729,0.09545823270227781,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.9713188994649936,0.06700653019051074,0.0,0.0009078527881911083,-0.0033355402505320006,0.004801750537659107,39.79409453041345,0.9761580802265575,-0.014049971158989063,-0.005575808075807406,-0.0060142381234968385,-0.3203266775332198,-0.003728118449006232,0.08495316197178375,4.867457637274492,0.0004180253598610561,0.023951088849475964,7.023951088849476,-0.002034720730430115,0.0005086801826075288,0.9741233594961274,-0.3198179973506123,True,0.5322856248897446,0.009290136715361523,0.00772220182548162,7.55623671373922,-0.006327769333507443,True,0.8312870833056043,0.01351445241651587,0.7743210858967359,-0.002118525560813028,8.330557799635956,-0.3219365229114253,True
6.0,7.0,53.0,47.0,7.006,0.0,416.26,101199.0,289.29,1969.1,-64.5,1525.0,1461.2,901.2,59.9,0.0,1.2186675534126223,975.5554796455186,40.012746255470425,448228.6736905813,82.02,82.02,0.76,0.72,0.0,23.217,24.648,30.772,30.7,101199.0,1.4727501124805384e-05,2.4007939689828888,2.4007939689828888,18.371565696295946,-0.1102875643618822,205.20409038595216,-1.2244884335809234,-9.150695542737266,-0.3031889794755752,0.086715149781392,-0.0005205654662625,0.9685784939472968,-0.0041384210083733,-0.2618017675902158,-0.0010246921144854,0.9719234217477976,-0.0320730166475766,0.0049705654662625,0.9616284939472968,0.08071514978139199,0.0005205654662625,-0.0047281633461442995,-0.2841926899534995,-0.2841926899534995,-0.0051205667636799995,1998.95,-42.45,1549.35,1478.5,785.85,46.15,-29.85,-22.05,-24.35,-17.3,115.35,13.75,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,7.0,0.0,2.4007939689828888,2.4,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,0.086715149781392,0.0005205654662625,0.9685784939472968,-0.0041281633461443,-0.2862426899534994,-0.00152056676368,-0.2862426899534994,-0.03290505283652946,0.08359778709417409,-0.0008320361889528616,-0.005572688252575506,0.0028826373127820992,-0.0008258236942911747,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,0.9247293603713462,0.06379254623574576,0.0,0.0009078527881911083,4.3897063766388325e-05,0.008181187851957497,39.688050855939935,0.9460849729687599,0.07941049041261337,0.0005121511770681987,-0.004651738503678295,-0.2795990708313095,-0.005037799211122826,0.08495316197178375,4.867457637274492,0.0004180253598610561,0.023951088849475964,7.029951088849476,-0.002034720730430115,0.0005086801826075288,0.9440502522383298,-0.279090390648702,True,0.5322856248897446,0.009290136715361523,0.00772220182548162,7.56223671373922,0.087132692238095,True,0.8312870833056043,0.01351445241651587,0.7743210858967359,-0.002118525560813028,8.336557799635957,-0.28120891620951505,True
5.0,7.0,53.0,12.0,7.998,0.0,416.07,101200.0,289.23999999999995,-1.0,83.7,2132.1,1912.3,-837.9,-12.1,0.0,1.2188902649715678,975.106768902776,39.99988835988295,448226.6610461791,123.04,123.03,17.74,18.07,0.0,22.178,23.889,34.051,33.574,101200.0,1.4722834624823385e-05,1.59988495034755,1.6000149905776035,0.2192037672986641,1.328114563819772,227.3877373427449,-2.189962732440984,-12.982519940662565,0.1572853249701404,0.0010351341192853,0.0062716837227369,1.0737808393131982,-0.007404854147612,-0.3716013373194924,0.0005318240688349,1.0634801208836708,-0.1483792265246538,-0.0006216837227369003,1.0662308393131983,-0.0033648658807144995,-0.0062716837227369,-0.006556325609639899,-0.3718430929436114,-0.3718430929436114,-0.0040603618762781,26.1,102.2,2163.6,1935.5,-984.9,-23.6,-27.1,-18.5,-31.5,-23.2,147.0,11.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,8.0,0.0,1.59988495034755,1.6,0.0043999999999999,-0.00565,0.00755,0.0009,-4.99999999999997e-05,0.0038,True,0.0010351341192854,-0.0062716837227369,1.0737808393131982,-0.0056563256096399,-0.3718930929436114,-0.0002603618762781,-0.3718930929436114,-0.04948987696931618,0.09343679914175426,0.09888934955533762,0.6623263794155518,0.09680166502246876,0.0979274455537781,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,1.1368482027025273,0.0784255855192079,0.0,0.0009078527881911083,-0.003402749313977679,0.004734541474213429,39.81139963715436,1.05620586260259,-0.0033332285458666237,-0.006212715738564506,-0.00649468134920363,-0.36834692850218387,-0.00402218530911695,0.08495316197178375,4.867457637274492,0.00044462379670939946,0.02547506702253129,8.023475067022531,-0.0021641874950071474,0.0005410468737517868,1.054041675107583,-0.3678058816284321,True,0.5661543011433019,0.009881256629278115,0.008736174393512097,8.589629368165832,0.005402945847645474,True,0.8841808527063338,0.014374360316027322,0.8235901793087017,-0.002253324723140443,9.413219547474535,-0.3700592063515725,True
8.0,7.0,54.0,48.0,7.996,0.0,415.97,101196.0,289.39,2151.5,-75.7,1644.4,1580.5,956.7,71.3,0.0,1.218210323044408,974.8706066959188,40.00620428197657,447867.08634707896,82.02,82.03,1.45,1.07,0.0,23.323,23.761,30.796,30.768,101196.0,1.4736981583929451e-05,2.4004014458001754,2.400108820974404,20.0229379369488,-0.177621560869135,221.24477833864012,-1.3132507392252135,-10.580127724423312,-0.3922366597980252,0.0945761446297343,-0.000838975902688,1.0450253714324462,-0.0044415303422105,-0.3029105332529487,-0.0013265791320613,1.0480213243085983,-0.0517105198678009,0.006488975902688,1.037475371432446,0.09017614462973429,0.000838975902688,-0.0053479852549513,-0.3295171003481029,-0.3295171003481029,-0.0057324142346672005,2178.6,-57.2,1675.9,1603.7,809.7,59.8,-27.1,-18.5,-31.5,-23.2,147.0,11.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,0.0,40.0,8.0,0.0,2.4004014458001754,2.4,0.0043999999999999,-0.00565,0.00755,0.0009,-4.99999999999997e-05,0.0038,True,0.0945761446297342,0.000838975902688,1.045025371432446,-0.0044479852549513,-0.3295671003481029,-0.0019324142346672,-0.3295671003481029,-0.04948987696931618,0.09343679914175426,0.002220642898484719,0.014873091769151532,0.00326065451201997,0.0021990533251108136,40.0,0.0,True,exact_AoS_exact_dR,0.0,0.0,330.0,0.034608752698998047,0.06898509874297536,0.007229438,1.0763551463288918,0.07425246605200829,0.0,0.0009078527881911083,-0.00011480825328548998,0.008022482534905617,39.68780952322782,1.0210273103540226,0.08874649841785485,0.0008256748381319474,-0.005263198675392795,-0.32429295957122134,-0.005641532945284449,0.08495316197178375,4.867457637274492,0.00044462379670939946,0.02547506702253129,8.021475067022532,-0.0021641874950071474,0.0005410468737517868,1.0188631228590155,-0.32375191269746956,True,0.5661543011433019,0.009881256629278115,0.008736174393512097,8.587629368165834,0.09748267281136695,True,0.8841808527063338,0.014374360316027322,0.8235901793087017,-0.002253324723140443,9.411219547474536,-0.32600523742061,True
