AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
9.0,-10.0,19.991447977800103,19.8479583931701,-20,0,0.9894069617877395,0.9752549006343008,0.1039840410582256,0.10249669705836259,-0.111423590913087,-0.10982983472029802,0.022848908692520698,0.022522087510141287,0.113760024354898,0.11213284880058592,0.0248919689093021,0.024535924652652214,0.0274999999999999,-0.01635,-0.0079499999999999,0.0074,-0.03455,0.008,True,0.1314840410582255,0.9814569617877396,0.0302489086925207,0.079210024354898,0.0328919689093021,0.007229438,20.0,9.0,-10.0,0.9511221212112199,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.1299175750960595,0.05903651368555356
10.0,-10.0,19.99294458794892,19.8494442613272,-20,0,1.0550683936955239,1.0399771390295367,0.1122285973726603,0.11062332670596443,-0.1045649118911129,-0.10306925935910209,0.0197213040830425,0.01943921884189513,0.0573861300665022,0.056565302991874684,0.0236761920235144,0.023337537728226335,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1416285973726602,1.046218393695524,0.0277213040830425,0.0202361300665023,0.0310761920235144,0.007229438,20.0,10.0,-10.0,1.0815524497040603,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.13801343545021985,0.06713237403971392
11.0,-10.0,19.99459564281653,19.851083465668655,-20,0,1.0313642874203388,1.016612086323358,0.14129027662996219,0.13926931992308744,-0.0936783532532841,-0.09233841747842512,0.014915132970036802,0.014701793179580674,-0.0403753356718628,-0.039797823847520696,0.0219701561297121,0.02165590425449133,0.0284999999999999,-0.0153499999999999,0.00625,0.0081,-0.0346499999999999,0.0072,True,0.1697902766299621,1.037614287420339,0.0230151329700368,-0.0750253356718627,0.0291701561297121,0.007229438,20.0,11.0,-10.0,1.0335001340587309,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.1350308098473105,0.06414974843680457
12.0,-10.0,19.996463621764704,19.852938037107595,-20,0,1.0475174480487044,1.0325341989342114,0.1547891119723056,0.15257507360071337,-0.0891419405841012,-0.08786689174858164,0.011478588315278399,0.011314403414558227,-0.05937142891857781,-0.058522204963952947,0.021243899467489502,0.020940035662187197,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.1837891119723055,1.0654674480487043,0.0200785883152784,-0.0946214289185778,0.0282438994674895,0.007229438,20.0,12.0,-10.0,1.0661268719687136,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.137055963942859,0.06617490253235306
13.0,-10.0,19.99389330178525,19.85038616572409,-20,0,1.0736448042533706,1.0582878404218132,0.1670321529218451,0.16464299524049092,-0.0849606325171199,-0.083745391354025,0.0074331204640747,0.007326800234451099,-0.09309874702687759,-0.09176710169576707,0.020193852381062298,0.019905008007758185,0.032,-0.01525,0.03045,0.0091,-0.0419499999999999,0.0067,True,0.1990321529218451,1.1040948042533707,0.0165331204640747,-0.1350487470268775,0.0268938523810623,0.007229438,20.0,13.0,-10.0,1.1199731531846653,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.14039822320381856,0.06951716179331262
14.0,-10.0,19.994729351427097,19.851216214579203,-20,0,1.1052890388099512,1.0894794491531326,0.1871495572015641,0.18447264862840235,-0.0821300097612051,-0.08095525663578446,0.002062893753054901,0.002033386988221218,-0.1502458367170841,-0.14809678344437638,0.018854532079207998,0.01858484478034132,0.031,-0.01555,0.03445,0.0096,-0.0347499999999999,0.0068,True,0.2181495572015641,1.1397390388099513,0.0116628937530549,-0.184995836717084,0.025654532079208,0.007229438,20.0,14.0,-10.0,1.1869654701270131,True,0.07088106141050593,0.06207038230839661,0.6763764700871266,0.14455646192815536,0.07367540051764941
-5.002,-10.0,19.9917712616901,19.848279356674343,-15,0,-0.4462092923787513,-0.4398269022836112,0.0957945466054661,0.09442434169071907,-0.1371562313623177,-0.13519440630065907,0.030398425829518197,0.02996361952844842,0.5275601903174129,0.5200141911847592,0.025813896032592203,0.02544466491802468,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.121794546605466,-0.4223592923787513,0.0352984258295182,0.4953101903174129,0.0326138960325922,0.007229438,20.0,-5.0,-10.0,0.19344770397239727,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.07644194470850885,0.012587152338513558
-2.5,-10.0,19.99405252836675,19.850544249449104,-15,0,-0.1727734947973006,-0.1703022153758917,0.0790067697086201,0.07787669009564491,-0.1322741253590062,-0.13038213188878048,0.028426748551419103,0.028020144293080144,0.444985100002501,0.4386202202403598,0.0256864695525403,0.02531906109276288,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.10620676970862,-0.1535903003528562,0.0340008556942762,0.407968072975474,0.0330477195525403,0.007229438,20.0,-2.5,-10.0,0.029002844561936608,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.06574193403802675,0.0018871416680314587
0.002,-10.0,19.99849442408276,19.854954263243805,-15,0,0.10814369614997799,0.10659685419274328,0.07211538555433561,0.07108387740259924,-0.1300390958126969,-0.12817907126531156,0.027600041266601198,0.02720526188164861,0.35693590069674414,0.3518304396583552,0.026434456426852503,0.026056349077340054,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1000153855543355,0.1253936961499779,0.0336000412666012,0.3168859006967442,0.0340344564268525,0.007229438,20.0,0.0,-10.0,0.011362889323788972,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.0645941468104316,0.0007393544404363119
-0.005,-10.0,20.003650542022203,19.860073372897393,-15,0,0.10765256682772309,0.10611274977780281,0.07168267925092281,0.07065736034820518,-0.1296124752706418,-0.12775855292410365,0.027681807008967003,0.02728585808121665,0.3541050411349843,0.3490400715214409,0.026375572342767804,0.025998307246434395,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0995826792509227,0.124902566827723,0.033681807008967,0.3140550411349844,0.0339755723427678,0.007229438,20.0,-0.0,-10.0,0.011259915665406591,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.06458744657518302,0.0007326542051877301
