V_round,AoA_round,AoS_round,case_available,source_type,CL_solid_blockage_corr,CD_solid_blockage_corr,CY_solid_blockage_corr,CMroll_solid_blockage_corr,CMpitch_solid_blockage_corr,CMyaw_solid_blockage_corr
20,-5.0,-10.0,False,extrap_alpha,-0.144572596300914,0.03290712709329537,-0.03354810698408027,0.004879849923106103,-0.21486254529993715,-0.014460663041859244
20,-5.0,-9.0,False,extrap_alpha,-0.14226909723271586,0.04026530802560997,-0.019928159808114822,-0.012168173150663238,-0.24693970548754804,-0.030457043194652332
20,-5.0,-8.0,False,extrap_alpha,-0.14128706563272442,0.03942160092750617,-0.007654489629784458,-0.016261298392951352,-0.24245344804164692,-0.030350278360908006
20,-5.0,-7.0,False,extrap_alpha,-0.13879543141236916,0.03871820016758072,0.0015316270568965246,-0.01837283593400113,-0.24071124347848277,-0.02904558938609999
20,-5.0,-6.0,False,extrap_alpha,-0.14272871018223143,0.03808605378098867,0.013501480730528075,-0.02193717083313964,-0.2392466293051189,-0.028207130059651118
20,-5.0,-5.0,False,extrap_alpha,-0.15731734778517892,0.03450296647599135,-0.010088329125346403,-0.004725878225259219,-0.22217901237711815,-0.01724204488177716
20,-5.0,-4.0,False,extrap_alpha,-0.15760395176103215,0.03297186198213465,0.0018414402613038082,-0.007009846559713897,-0.21371000363713777,-0.016670734026092857
20,-5.0,-3.0,False,extrap_alpha,-0.16234633303983148,0.025634666886003438,-0.02515972493103373,0.00695982246170117,-0.19794907185262456,-0.003985812002619492
20,-5.0,-2.0,False,extrap_alpha,-0.16322682776714548,0.026240069551587288,-0.01048755934870398,0.0013432991638327664,-0.20591220320935427,-0.003083350083890503
20,-5.0,-1.0,False,extrap_alpha,-0.16811712475219243,0.026352386852498542,0.0037823995253390133,-0.004325508961791037,-0.20624910747480932,-0.0031651802429593567
20,-5.0,0.0,True,measured,-0.17132096188452176,0.047606572872999305,0.005769841675689583,-0.001469831794253888,-0.216437782220038,-0.0030710653267978145
20,-5.0,1.0,False,extrap_alpha,-0.16196762891967464,0.026709955022944626,0.014437977691640042,-0.009871384960851241,-0.206263572942275,-0.004003917879581571
20,-5.0,2.0,False,extrap_alpha,-0.1631078188900844,0.028372789787885627,0.032743561275115206,-0.017325199919776872,-0.20518135502858748,-0.00453355273322607
20,-5.0,3.0,False,extrap_alpha,-0.1640283121123871,0.028114297279758775,0.044794764904033925,-0.021098205062221043,-0.2027603327308352,-0.004722704900961659
20,-5.0,4.0,False,extrap_alpha,-0.1600946021399876,0.02994542203286174,0.061059413553708815,-0.027951526400928517,-0.20373050070818216,-0.005833546080202789
20,-5.0,5.0,False,extrap_alpha,-0.15593428755298355,0.03955327274965109,0.013071598197821076,5.735327564893955e-05,-0.23716004660471798,0.010801545810622657
20,-5.0,6.0,False,extrap_alpha,-0.14652086182769586,0.0462444414395478,0.01079709731270344,0.006266268488105135,-0.25446171545515717,0.018179954091174844
20,-5.0,7.0,False,extrap_alpha,-0.14190433176693684,0.049703137898221714,0.01709737900476132,0.007332077476905851,-0.25936261053166576,0.022235027071203096
20,-5.0,8.0,False,extrap_alpha,-0.1404031817557284,0.05180069505208805,0.02929838683298772,0.004190276168184789,-0.2646854907851761,0.024215506277861322
20,-5.0,9.0,False,extrap_alpha,-0.13807006835598046,0.05354393585543375,0.042832158070356105,-0.0010334445242025732,-0.2680703434728201,0.024554730320435324
20,-5.0,10.0,False,extrap_alpha,-0.13209126299224438,0.054624062848935034,0.0568498958693565,-0.008298866327670823,-0.26460706327262296,0.02201074348004903
20,-4.0,-10.0,False,extrap_alpha,-0.055253262799750014,0.03539245492944062,-0.033560634065271315,0.0050840915003263105,-0.20194420351295972,-0.014383599269651737
20,-4.0,-9.0,False,extrap_alpha,-0.05360199434025675,0.04270157974441719,-0.020170802978499283,-0.011948710314954555,-0.2332509968240177,-0.030415259735011593
20,-4.0,-8.0,False,extrap_alpha,-0.05294087340855019,0.04188699822330706,-0.008167410083575168,-0.015890016224020084,-0.22837058705308652,-0.03030833022339309
20,-4.0,-7.0,False,extrap_alpha,-0.051416531001356236,0.04126260497881925,0.0008235437933386512,-0.017915188808452838,-0.22593283112574203,-0.02899077612901771
20,-4.0,-6.0,False,extrap_alpha,-0.05503716702667938,0.040697119881005814,0.011635781559494473,-0.020822261611326547,-0.22375075493957908,-0.02786191172785897
20,-4.0,-5.0,False,extrap_alpha,-0.06875912449911364,0.037415547697614654,-0.010132068191851001,-0.00472895208467721,-0.20761913338848667,-0.017315682105627162
20,-4.0,-4.0,False,extrap_alpha,-0.06902585956318569,0.03566181178051114,-0.0022832191832813965,-0.005239591568059488,-0.19884732713065162,-0.015382777064386555
20,-4.0,-3.0,False,extrap_alpha,-0.07308461905371705,0.028870021161974003,-0.025346934190986083,0.0069851021041763914,-0.18452120582540055,-0.00406144935326178
20,-4.0,-2.0,False,extrap_alpha,-0.07378693946888704,0.02943908958399719,-0.010847517513227265,0.0014627508723194542,-0.19148242261346393,-0.003163038532015763
20,-4.0,-1.0,False,extrap_alpha,-0.07789380587005662,0.029595665562434585,0.003265259979102011,-0.004036505718956633,-0.19191165505656432,-0.0032608919405299292
20,-4.0,0.0,True,measured,-0.08112976793533623,0.04482871390749325,0.006169942262960023,-0.002823102590566179,-0.19866029722732584,-0.003137943887834475
20,-4.0,1.0,False,extrap_alpha,-0.07266618544088876,0.029929376425645558,0.014904804000273816,-0.009943061085952758,-0.19198595567035598,-0.004045569467372089
20,-4.0,2.0,False,extrap_alpha,-0.07358236311978655,0.03145537481884914,0.03193717759266871,-0.01683574889422876,-0.1910710322817866,-0.004562425880890622
20,-4.0,3.0,False,extrap_alpha,-0.07454714088214276,0.031219358411493512,0.04379391463071427,-0.020679377605780036,-0.1887971877305319,-0.004782224110193717
